Competencia,Roles,Cursos,Clasificación,Especificación,Tipo de desarrollo,Asociado a...
Volt,,,Framework,,Back-end,Ruby
VueJS,,"Vue en el mundo real,Vue en el mundo real (parte 2),Testing con Vitest",Framework,,Front-end,JavaScript
Vuetify,,,Librería Modular,,Front-end,JavaScript
Xamarin,,,Framework,,Back-end,C#
XML,,,API,Tipo de API,,
YAGNI,,,Buena práctica,Clean Code,,
Zabbix,,,Monitorización,,,
Zebra,,,Framework,,Front-end,"HTML,CSS"
Zend,,,Framework,,Back-end,PHP
Test Double,,La historia de los Test Doubles,Testing,Tipo de testing,Back-end,
JPA,,,API,Tipo de API,Back-end,Java
MyBatis,,,Software,,Back-end,"Java,SQL"
Ionic,,,Framework,,Front-end,"JavaScript,TypeScript"
Spring Batch,,,Framework,,Back-end,Java
Apache Cordova,,,Framework,,Front-end,"JavaScript,Java,C#"
ASO,,,Proceso,,Back-end,Java
APX,,,Proceso,,Back-end,Java
Cells,,,Librería,,Front-end,JavaScript
Swift,,,Lenguaje,,"Back-end,Front-end",
Preprocesamiento de datos,,,Proceso,Big Data,Back-end,
Data mining,,Preprocesamiento de Datos,Proceso,Big Data,Back-end,
R,,"Introducción a Ciencia de Datos con R: Sesión 1 - Introducción a R,Introducción a Ciencia de Datos con R: Sesión 2 -  Tidyverse parte 1,Introducción a Ciencia de Datos con R: Sesión 3 - Tidyverse parte 2,Introducción a Ciencia de Datos con R: Sesión 4 - Visualización de datos,Introducción a Ciencia de Datos con R: Sesión 5 - Natural Language Programming,Introducción a Ciencia de Datos con R: Sesión 6 - Programación funcional",Lenguaje,,Back-end,
Diseño UX/UI,,,Proceso,Diseño UX/UI,Front-end,"JavaScript,HTML,CSS"
Project Management,,,Proceso,Gestión de proyectos,,
Design thinking,,,Proceso,Diseño UX/UI,Front-end,
Husky,,,Librería,,Back-end,
Commitlint,,,Librería,,Back-end,JavaScript
Programación reactiva,,,Paradigma,,,
Headless CMS,,,Sistema de gestión de contenidos,,Back-end,
Pascal,,,,,,
360-degree video,,,,,,
3D Animation,,,,,,
3D Design,,,,,,
3D Model Maker,,,,,,
3D Modelling,,,,,,
3D Printing,,,,,,
3D Rendering,,,,,,
3ds Max,,,,,,
4D,,,,,,
Academic Writing,,,,,,
Accounting,,,,,,
ActionScript,,,,,,
Active Directory,,,,,,
Ad Planning / Buying,,,,,,
Adobe Air,,,,,,
Adobe Captivate,,,,,,
Adobe Dreamweaver,,,,,,
Adobe Fireworks,,,,,,
Adobe Flash,,,,,,
Adobe InDesign,,,,,,
Adobe Lightroom,,,,,,
Adobe LiveCycle Designer,,,,,,
Adobe Premiere Pro,,,,,,
Advertisement Design,,,,,,
Advertising,,,,,,
Aeronautical Engineering,,,,,,
Aerospace Engineering,,,,,,
Affiliate Marketing,,,,,,
Afrikaans,,,,,,
After Effects,,,,,,
Agile Development,,,,,,
Agronomy,,,,,,
Air Conditioning,,,,,,
Airbnb,,,,,,
AJAX,,,,,,
Albanian,,,,,,
Algorithm,,,,,,
Alibaba,,,,,,
Amazon Fire,,,,,,
Amazon Kindle,,,,,,
Amazon Web Services,,,,,,
AMQP,,,,,,
Analytics,,,,,,
Android,,,,,,
Android Honeycomb,,,,,,
Android Wear SDK,,,,,,
Angular.js,,,,,,
Animation,,,,,,
Antenna Services,,,,,,
Anything Goes,,,,,,
Apache,,,,,,
Apache Ant,,,,,,
Apache Solr,,,,,,
App Designer,,,,,,
App Developer,,,,,,
Appcelerator Titanium,,,,,,
Apple Compressor,,,,,,
Apple iBooks Author,,,,,,
Apple Logic Pro,,,,,,
Apple Motion,,,,,,
Apple Safari,,,,,,
Apple Watch,,,,,,
Applescript,,,,,,
Appliance Installation,,,,,,
Appliance Repair,,,,,,
Arabic,,,,,,
Arduino,,,,,,
Argus Monitoring Software,,,,,,
Article Rewriting,,,,,,
Article Submission,,,,,,
Articles,,,,,,
Artificial Intelligence,,,,,,
Arts / Crafts,,,,,,
AS400 / iSeries,,,,,,
Asbestos Removal,,,,,,
ASP,,,,,,
ASP.NET,,,,,,
Asphalt,,,,,,
Assembly,,,,,,
Asterisk PBX,,,,,,
Astrophysics,,,,,,
Attic Access Ladders,,,,,,
Attorney,,,,,,
Audio Production,,,,,,
Audio Services,,,,,,
Audit,,,,,,
Augmented Reality,,,,,,
AutoCAD,,,,,,
Autodesk Inventor,,,,,,
Autodesk Revit,,,,,,
AutoHotkey,,,,,,
Automotive,,,,,,
Autotask,,,,,,
Awnings,,,,,,
Axure,,,,,,
backbone.js,,,,,,
Balsamiq,,,,,,
Balustrading,,,,,,
Bamboo Flooring,,,,,,
Banner Design,,,,,,
Basque,,,,,,
Bathroom,,,,,,
Bengali,,,,,,
Big Data,,,,,,
BigCommerce,,,,,,
Binary Analysis,,,,,,
Biology,,,,,,
Biotechnology,,,,,,
Bitcoin,,,,,,
Biztalk,,,,,,
Blackberry,,,,,,
Blog,,,,,,
Blog Design,,,,,,
Blog Install,,,,,,
Bluetooth Low Energy (BLE),,,,,,
BMC Remedy,,,,,,
Book Artist,,,,,,
Book Writing,,,,,,
Bookkeeping,,,,,,
Boonex Dolphin,,,,,,
Bootstrap,,,,,,
Bosnian,,,,,,
Bower,,,,,,
BPO,,,,,,
Brackets,,,,,,
Brain Storming,,,,,,
Branding,,,,,,
Bricklaying,,,,,,
Broadcast Engineering,,,,,,
Brochure Design,,,,,,
BSD,,,,,,
Building,,,,,,
Building Architecture,,,,,,
Building Certifiers,,,,,,
Building Consultants,,,,,,
Building Designer,,,,,,
Building Surveyors,,,,,,
Bulgarian,,,,,,
Bulk Marketing,,,,,,
Business Analysis,,,,,,
Business Cards,,,,,,
Business Catalyst,,,,,,
Business Coaching,,,,,,
Business Intelligence,,,,,,
Business Plans,,,,,,
Business Writing,,,,,,
Buyer Sourcing,,,,,,
C Programming,,,,,,
C# Programming,,,,,,
C++ Programming,,,,,,
CAD/CAM,,,,,,
CakePHP,,,,,,
Call Center,,,,,,
Call Control XML,,,,,,
Capture NX2,,,,,,
Caricature / Cartoons,,,,,,
Carpentry,,,,,,
Carpet Repair / Laying,,,,,,
Carports,,,,,,
Cartography / Maps,,,,,,
Carwashing,,,,,,
CasperJS,,,,,,
Cassandra,,,,,,
Catalan,,,,,,
Catch Phrases,,,,,,
CATIA,,,,,,
Ceilings,,,,,,
Cement Bonding Agents,,,,,,
CGI,,,,,,
Chef Configuration Management,,,,,,
Chemical Engineering,,,,,,
Chordiant,,,,,,
Christmas,,,,,,
Chrome OS,,,,,,
Cinema 4D,,,,,,
Circuit Design,,,,,,
Cisco,,,,,,
Civil Engineering,,,,,,
Classifieds Posting,,,,,,
Clean Technology,,,,,,
Cleaning Carpet,,,,,,
Cleaning Domestic,,,,,,
Cleaning Upholstery,,,,,,
Climate Sciences,,,,,,
CLIPS,,,,,,
Clothesline,,,,,,
Cloud Computing,,,,,,
CMS,,,,,,
Coating Materials,,,,,,
COBOL,,,,,,
Cocoa,,,,,,
Coding,,,,,,
Cold Fusion,,,,,,
Columns,,,,,,
Commercial Cleaning,,,,,,
Commercials,,,,,,
Communications,,,,,,
Compliance,,,,,,
Computer Graphics,,,,,,
Computer Help,,,,,,
Computer Security,,,,,,
Concept Art,,,,,,
Concept Design,,,,,,
Concreting,,,,,,
Construction Monitoring,,,,,,
Content Writing,,,,,,
Contracts,,,,,,
Conversion Rate Optimisation,,,,,,
Cooking / Recipes,,,,,,
Cooking / Baking,,,,,,
Copy Typing,,,,,,
Copywriting,,,,,,
Corporate Identity,,,,,,
Courses,,,,,,
Covers / Packaging,,,,,,
CRE Loaded,,,,,,
Creative Design,,,,,,
Creative Writing,,,,,,
CRM,,,,,,
Croatian,,,,,,
Cryptography,,,,,,
Crystal Reports,,,,,,
CS-Cart,,,,,,
CubeCart,,,,,,
CUDA,,,,,,
Customer Service,,,,,,
Customer Support,,,,,,
Czech,,,,,,
Damp Proofing,,,,,,
Danish,,,,,,
Dari,,,,,,
Dart,,,,,,
Data Entry,,,,,,
Data Mining,,,,,,
Data Processing,,,,,,
Data Science,,,,,,
Data Warehousing,,,,,,
Database Administration,,,,,,
Database Development,,,,,,
Database Programming,,,,,,
DataLife Engine,,,,,,
Dating,,,,,,
DDS,,,,,,
Debian,,,,,,
Debugging,,,,,,
Decking,,,,,,
Decoration,,,,,,
Delivery,,,,,,
Delphi,,,,,,
Demolition,,,,,,
Design,,,,,,
Desktop Support,,,,,,
Digital Design,,,,,,
Disposals,,,,,,
DNS,,,,,,
DOS,,,,,,
DotNetNuke,,,,,,
Drafting,,,,,,
Drains,,,,,,
Drones,,,,,,
Drupal,,,,,,
Dthreejs,,,,,,
