Tabla M,nombre_dividido,standard_company_name,Estado
bbva it españa,"['bbva', 'it', 'españa']",BBVA,Correcto
bbva next technologies,"['bbva', 'next', 'technologies']",BBVA,Correcto
bd,['bd'],BD Serveis,Correcto
bd serveis - instal·lacions i seguretat,"['bd', 'serveis', '-', 'instal·lacions', 'i', 'seguretat']",BD Serveis,Correcto
bdo international,"['bdo', 'international']",BDO,Correcto
bdo spain,"['bdo', 'spain']",BDO,Correcto
be beyond,"['be', 'beyond']",Be Beyond,Correcto
be beyond®,"['be', 'beyond®']",Be Beyond,Correcto
be genius,"['be', 'genius']",BeGenius,Correcto
beam suntory,"['beam', 'suntory']",Beam Inc.,Correcto
beam suntory inc,"['beam', 'suntory', 'inc']",Beam Inc.,Correcto
bebee,['bebee'],BeBee,Correcto
bebee professionals,"['bebee', 'professionals']",BeBee,Correcto
beclever,['beclever'],BeClever Solutions,Correcto
beclever part of devoteam,"['beclever', 'part', 'of', 'devoteam']",BeClever Solutions,Correcto
befree,['befree'],Befree Tech,Correcto
befree,['befree'],Befree Tech,Correcto
beluck,['beluck'],BeLuck,Correcto
beluck,['beluck'],BeLuck,Correcto
beluck,['beluck'],BeLuck,Correcto
beonit,['beonit'],beonit,Correcto
beonit,['beonit'],beonit,Correcto
berkeley square,"['berkeley', 'square']",Berkeley Square IT Recruitment,Correcto
berkeley square it,"['berkeley', 'square', 'it']",Berkeley Square IT Recruitment,Correcto
beside,['beside'],Beside Talent,Correcto
beside talent,"['beside', 'talent']",Beside Talent,Correcto
between,['between'],Between Technology,Correcto
between,['between'],Between Technology,Correcto
between technology,"['between', 'technology']",Between Technology,Correcto
between technology,"['between', 'technology']",Between Technology,Correcto
between technology,"['between', 'technology']",Between Technology,Correcto
"between technology, s.l.","['between', 'technology,', 's.l.']",Between Technology,Correcto
big fish - personas & talento,"['big', 'fish', '-', 'personas', '&', 'talento']",Big Fish Recruitment,Correcto
big fish hr,"['big', 'fish', 'hr']",Big Fish Recruitment,Correcto
big mouse,"['big', 'mouse']",Big Mouse,Correcto
bip - business integration partners,"['bip', '-', 'business', 'integration', 'partners']",Bip Consulting,Correcto
bip spain,"['bip', 'spain']",Bip Consulting,Correcto
bnp paribas corporate & institutional banking,"['bnp', 'paribas', 'corporate', '&', 'institutional', 'banking']",BNP Paribas,Correcto
bnp paribas leasing solutions,"['bnp', 'paribas', 'leasing', 'solutions']",BNP Paribas,Correcto
bnp paribas real estate,"['bnp', 'paribas', 'real', 'estate']",BNP Paribas,Correcto
boycor,['boycor'],Boycor,Correcto
boycor,['boycor'],Boycor,Correcto
brandty,['brandty'],Brandty,Correcto
"brandty (selección de personal, headhunting, consultoría rrhh).","['brandty', '(selección', 'de', 'personal,', 'headhunting,', 'consultoría', 'rrhh).']",Brandty,Correcto
btd,['btd'],BTD Grupo,Correcto
btd grupo,"['btd', 'grupo']",BTD Grupo,Correcto
business consulting school of management,"['business', 'consulting', 'school', 'of', 'management']",BCSM,Correcto
business go,"['business', 'go']",Business Go,Correcto
business insights,"['business', 'insights']",Business Insights,Correcto
business insights spain,"['business', 'insights', 'spain']",Business Insights,Correcto
caf,['caf'],CAF,Correcto
caf (construcciones y auxiliar de ferrocarriles),"['caf', '(construcciones', 'y', 'auxiliar', 'de', 'ferrocarriles)']",CAF,Correcto
caf group,"['caf', 'group']",CAF,Correcto
caf signalling,"['caf', 'signalling']",CAF,Correcto
caixabank,['caixabank'],CaixaBank,Correcto
caixabank s.a.,"['caixabank', 's.a.']",CaixaBank,Correcto
caixabank tech,"['caixabank', 'tech']",CaixaBank,Correcto
came parkare,"['came', 'parkare']",CAME Parkare,Correcto
came parkare,"['came', 'parkare']",CAME Parkare,Correcto
campus san rafael,"['campus', 'san', 'rafael']",Campus,Correcto
campus training,"['campus', 'training']",Campus,Correcto
canarias,['canarias'],CANARIAS TELECOM,Correcto
canarias telecom,"['canarias', 'telecom']",CANARIAS TELECOM,Correcto
canonical,['canonical'],Canonical,Correcto
canonical - jobs,"['canonical', '-', 'jobs']",Canonical,Correcto
capgemini,['capgemini'],Capgemini,Correcto
capgemini engineering,"['capgemini', 'engineering']",Capgemini,Correcto
capitole consulting,"['capitole', 'consulting']",Capitole Consulting,Correcto
capitole consulting,"['capitole', 'consulting']",Capitole Consulting,Correcto
capitole consulting,"['capitole', 'consulting']",Capitole Consulting,Correcto
cas training,"['cas', 'training']",CAS Training,Correcto
cas training,"['cas', 'training']",CAS Training,Correcto
cas training,"['cas', 'training']",CAS Training,Correcto
casa,['casa'],Casa,Correcto
"casa systems, inc.","['casa', 'systems,', 'inc.']",Casa Systems,Correcto
casa tarradellas,"['casa', 'tarradellas']",Casa Tarradellas,Correcto
castellana selección,"['castellana', 'selección']",Castellana Selección,Correcto
castellana selección personal,"['castellana', 'selección', 'personal']",Castellana Selección,Correcto
catenon,['catenon'],Catenon Worldwide Executive Search,Correcto
catenon india,"['catenon', 'india']",Catenon Worldwide Executive Search,Correcto
"cds, a hewlett packard enterprise company","['cds,', 'a', 'hewlett', 'packard', 'enterprise', 'company']",CDS,Correcto
"cds, a hewlett packard enterprise company.","['cds,', 'a', 'hewlett', 'packard', 'enterprise', 'company.']",CDS,Correcto
ce consulting,"['ce', 'consulting']",CE Consulting,Correcto
ce consulting norte,"['ce', 'consulting', 'norte']",CE Consulting,Correcto
ce consulting norte,"['ce', 'consulting', 'norte']",CE Consulting,Correcto
cef,['cef'],Centro de Estudios Financieros,Correcto
cef centro de estudios financieros,"['cef', 'centro', 'de', 'estudios', 'financieros']",Centro de Estudios Financieros,Correcto
cei: escuela de diseño y marketing,"['cei:', 'escuela', 'de', 'diseño', 'y', 'marketing']",CEI: Escuela de Diseño y Marketing,Correcto
cei: escuela de diseño y marketing,"['cei:', 'escuela', 'de', 'diseño', 'y', 'marketing']",CEI: Escuela de Diseño y Marketing,Correcto
ceit,['ceit'],Centro Tecnológico CEIT,Correcto
ceit centro tecnológico,"['ceit', 'centro', 'tecnológico']",Centro Tecnológico CEIT,Correcto
ceit research center,"['ceit', 'research', 'center']",Centro Tecnológico CEIT,Correcto
celestica,['celestica'],Celestica,Correcto
celestica international inc.,"['celestica', 'international', 'inc.']",Celestica,Correcto
celonis,['celonis'],Celonis,Correcto
celonis se,"['celonis', 'se']",Celonis,Correcto
centro de promoción de empleo y prácticas,"['centro', 'de', 'promoción', 'de', 'empleo', 'y', 'prácticas']",Empleo UGR,Correcto
centro nacional de energías renovables (cener),"['centro', 'nacional', 'de', 'energías', 'renovables', '(cener)']",CENER,Correcto
centro tecnológico de calzado de la rioja,"['centro', 'tecnológico', 'de', 'calzado', 'de', 'la', 'rioja']",CTCR,Correcto
centum,['centum'],CENTUM Digital,Correcto
centum digital,"['centum', 'digital']",CENTUM Digital,Correcto
centum digital,"['centum', 'digital']",CENTUM Digital,Correcto
centum research & technology,"['centum', 'research', '&', 'technology']",CENTUM Digital,Correcto
changetheblock,['changetheblock'],Change the Block,Correcto
changetheblock,['changetheblock'],Change the Block,Correcto
check24,['check24'],CHECK24,Correcto
check24 españa,"['check24', 'españa']",CHECK24,Correcto
chep,['chep'],CHEP,Correcto
chep,['chep'],CHEP,Correcto
cib group españa,"['cib', 'group', 'españa']",CIB Group,Correcto
cib labs,"['cib', 'labs']",CIB Group,Correcto
cib software gmbh,"['cib', 'software', 'gmbh']",CIB Group,Correcto
circet,['circet'],Circet,Correcto
circet cableven,"['circet', 'cableven']",Circet,Correcto
"circet infraestructuras de telecomunicaciones,sa","['circet', 'infraestructuras', 'de', 'telecomunicaciones,sa']",Circet,Correcto
circontrol,['circontrol'],circontrol,Correcto
circontrol,['circontrol'],circontrol,Correcto
cisco,['cisco'],Cisco,Correcto
cisco meraki,"['cisco', 'meraki']",Cisco,Correcto
civir,['civir'],Civir IT,Correcto
civir,['civir'],Civir IT,Correcto
cloud fibra,"['cloud', 'fibra']",Cloud Fibre,Correcto
cloud marketing  work,"['cloud', 'marketing', '', 'work']",Cloud,Correcto
cloudappi,['cloudappi'],CloudAPPi,Correcto
cloudappi s.l,"['cloudappi', 's.l']",CloudAPPi,Correcto
clpu. centro de láseres pulsados,"['clpu.', 'centro', 'de', 'láseres', 'pulsados']",Centro de Láseres Pulsados,Correcto
clpu. centro de láseres pulsados,"['clpu.', 'centro', 'de', 'láseres', 'pulsados']",Centro de Láseres Pulsados,Correcto
cmv consultores,"['cmv', 'consultores']",CMV Consultores,Correcto
cmv consultores,"['cmv', 'consultores']",CMV Consultores,Correcto
cobser consulting,"['cobser', 'consulting']",COBSER Consulting,Correcto
cobser consulting,"['cobser', 'consulting']",COBSER Consulting,Correcto
cognizant,['cognizant'],Cognizant,Correcto
cognizant netcentric,"['cognizant', 'netcentric']",Cognizant,Correcto
"cognizant spain, cognizant technology solutions","['cognizant', 'spain,', 'cognizant', 'technology', 'solutions']",Cognizant,Correcto
colaborum,['colaborum'],Colaborum,Correcto
colaborum sl,"['colaborum', 'sl']",Colaborum,Correcto
colavoro,['colavoro'],Colavoro,Correcto
comunitelia comunicaciones s.l.,"['comunitelia', 'comunicaciones', 's.l.']",Comunitelia,Correcto
comunitelia comunicaciones sl.,"['comunitelia', 'comunicaciones', 'sl.']",Comunitelia,Correcto
con&sel15,['con&sel15'],CON&SEL15,Correcto
con&sel15,['con&sel15'],CON&SEL15,Correcto
consulsap,['consulsap'],ConsulSAP,Correcto
consulsap,['consulsap'],ConsulSAP,Correcto
consultia it,"['consultia', 'it']",ConsultiaIT,Correcto
consultia it sl,"['consultia', 'it', 'sl']",ConsultiaIT,Correcto
consulting c3,"['consulting', 'c3']",Consulting C3,Correcto
consulting esoluzion,"['consulting', 'esoluzion']",Consulting eSoluzion,Correcto
consulting solutions,"['consulting', 'solutions']",Consulting Solutions,Correcto
consultora gestal,"['consultora', 'gestal']",Consultora Gestal,Correcto
consultora informática,"['consultora', 'informática']",consultora,Correcto
consultora tecnológica,"['consultora', 'tecnológica']",consultora,Correcto
consultora tecnológica internacional,"['consultora', 'tecnológica', 'internacional']",consultora,Correcto
consultora tecnológica internacional,"['consultora', 'tecnológica', 'internacional']",consultora,Correcto
consultoria tecnológica,"['consultoria', 'tecnológica']",consultora,Correcto
consultoria y servicios tecnologicos innoqa sl,"['consultoria', 'y', 'servicios', 'tecnologicos', 'innoqa', 'sl']",innoQA,Correcto
consultoría / integración,"['consultoría', '/', 'integración']",consultora,Correcto
consultoría tecnológica,"['consultoría', 'tecnológica']",consultora,Correcto
contentsquare,['contentsquare'],Contentsquare,Correcto
contentsquare,['contentsquare'],Contentsquare,Correcto
conurma ingenieros consultores,"['conurma', 'ingenieros', 'consultores']",Conurma Ingenieros Consultores,Correcto
conurma ingenieros consultores,"['conurma', 'ingenieros', 'consultores']",Conurma Ingenieros Consultores,Correcto
core networks sl,"['core', 'networks', 'sl']",Core Networks,Correcto
core tech recruitment,"['core', 'tech', 'recruitment']",Core Networks,Correcto
coremain,['coremain'],Coremain,Correcto
coremain,['coremain'],Coremain,Correcto
crealogix,['crealogix'],Crealogix,Correcto
crealogix,['crealogix'],Crealogix,Correcto
criteria,['criteria'],Criteria,Correcto
criteria recursos humanos,"['criteria', 'recursos', 'humanos']",Criteria,Correcto
cronoshare.com,['cronoshare.com'],Cronoshare,Correcto
cronoshare.com,['cronoshare.com'],Cronoshare,Correcto
ct ingenieros,"['ct', 'ingenieros']",CT Ingenieros,Correcto
ct solutions group,"['ct', 'solutions', 'group']",CT Solutions,Correcto
ctrl360,['ctrl360'],CTRL360,Correcto
ctrl360,['ctrl360'],CTRL360,Correcto
cyc,['cyc'],Crédito y Caución,Correcto
cyc,['cyc'],Crédito y Caución,Correcto
data adviser,"['data', 'adviser']",Data Adviser,Correcto
data world consulting ag,"['data', 'world', 'consulting', 'ag']",Data World Consulting AG,Correcto
dedalus,['dedalus'],Dedalus Global,Correcto
dedalus sa,"['dedalus', 'sa']",Dedalus Global,Correcto
deimos engineering and systems,"['deimos', 'engineering', 'and', 'systems']",Elecnor,Correcto
deimos space,"['deimos', 'space']",Elecnor,Correcto
deloitte,['deloitte'],Deloitte,Correcto
deloitte consulting slu,"['deloitte', 'consulting', 'slu']",Deloitte,Correcto
deloitte digital,"['deloitte', 'digital']",Deloitte,Correcto
deloitte empleo,"['deloitte', 'empleo']",Deloitte,Correcto
dentsu,['dentsu'],Dentsu,Correcto
dentsu creative spain,"['dentsu', 'creative', 'spain']",Dentsu,Correcto
desigual,['desigual'],Desigual,Correcto
desigual,['desigual'],Desigual,Correcto
devoteam,['devoteam'],Devoteam,Correcto
devoteam data driven denmark,"['devoteam', 'data', 'driven', 'denmark']",Devoteam,Correcto
devoteam m cloud,"['devoteam', 'm', 'cloud']",Devoteam,Correcto
devoteam spain,"['devoteam', 'spain']",Devoteam,Correcto
