level_0,level_1,Competencia
191,Asociado a...,TypeScript
192,Competencia,NGX Cookie
192,Clasificación,Librería Modular
192,Tipo de desarrollo,Front-end
192,Asociado a...,TypeScript
193,Competencia,Node
193,Roles,"Back-end Developer Junior,Full-Stack Developer Junior"
193,Cursos,Diseño y planificación de tests en una aplicación de NodeJS
193,Clasificación,Software
193,Tipo de desarrollo,Back-end
193,Asociado a...,JavaScript
194,Competencia,Nomad
194,Especificación,Plataforma de orquestación de contenedores
195,Competencia,Numpy
195,Roles,"Data Scientist,Data Scientist Junior"
195,Clasificación,Librería
195,Tipo de desarrollo,Back-end
195,Asociado a...,Python
196,Competencia,Oauth 2.0 Server
196,Clasificación,Librería
196,Tipo de desarrollo,Back-end
196,Asociado a...,PHP
197,Competencia,ObjectBox
197,Clasificación,Librería
197,Tipo de desarrollo,Back-end
197,Asociado a...,Kotlin
198,Competencia,Observer
198,Clasificación,Patrones de diseño y Arquitectura del software
198,Especificación,Patrón de comportamiento
198,Tipo de desarrollo,Back-end
199,Competencia,OneSignal
199,Clasificación,Librería
199,Tipo de desarrollo,Back-end
199,Asociado a...,Kotlin
200,Competencia,OpenStack
200,Clasificación,Cloud
201,Competencia,Oracle
201,Clasificación,Base de Datos
201,Especificación,Base de datos relacional
201,Tipo de desarrollo,Back-end
201,Asociado a...,SQL
202,Competencia,Oracle Cloud
202,Clasificación,Cloud
203,Competencia,Pandas
203,Clasificación,Librería
203,Tipo de desarrollo,Back-end
203,Asociado a...,Python
204,Competencia,Partitioning
204,Clasificación,Patrón de resiliencia
205,Competencia,PHP
205,Clasificación,Lenguaje
205,Tipo de desarrollo,Back-end
206,Competencia,PHP VCR
206,Clasificación,Librería
206,Tipo de desarrollo,Back-end
206,Asociado a...,PHP
207,Competencia,PHPExcel
207,Clasificación,Librería
207,Tipo de desarrollo,Back-end
207,Asociado a...,PHP
208,Competencia,PHPUnit
208,Roles,QA Tester
208,Clasificación,Testing
208,Especificación,Herramienta de testing
208,Tipo de desarrollo,Back-end
208,Asociado a...,PHP
209,Competencia,Playwright
209,Roles,QA Tester
209,Clasificación,Testing
209,Especificación,Herramienta de testing
209,Tipo de desarrollo,Front-end
210,Competencia,Podman
210,Especificación,Contenedor
211,Competencia,PostgreSQL
211,Clasificación,Base de Datos
211,Especificación,Base de datos relacional
211,Tipo de desarrollo,Back-end
211,Asociado a...,SQL
212,Competencia,Power BI
212,Roles,"Data Scientist,Data Scientist Junior"
212,Clasificación,Software
212,Especificación,Business Intelligence
212,Tipo de desarrollo,"Back-end,Front-end"
213,Competencia,PrimeNG
213,Clasificación,Librería Modular
213,Tipo de desarrollo,Front-end
213,Asociado a...,TypeScript
214,Competencia,Prisma
214,Clasificación,Librería
214,Especificación,ORM
214,Tipo de desarrollo,Back-end
214,Asociado a...,"JavaScript,TypeScript"
215,Competencia,Probabilidad
215,Clasificación,Matemáticas
215,Tipo de desarrollo,Back-end
215,Asociado a...,Python
216,Competencia,Prometheus
216,Clasificación,Monitorización
217,Competencia,Protocol Buffers
217,Especificación,Protocolo de comunicación
218,Competencia,Purl
218,Clasificación,Librería
218,Tipo de desarrollo,Back-end
218,Asociado a...,PHP
219,Competencia,Pyramid
219,Clasificación,Framework
219,Tipo de desarrollo,Back-end
219,Asociado a...,Python
220,Competencia,Python
220,Roles,"Data Analyst,Data Scientist,Data Scientist Junior"
220,Cursos,"Introducción a Python,Clean Code para Data Scientist I,Clean Code para Data Scientist II,Python I: Caso práctico estructuras de control de flujo"
220,Clasificación,Lenguaje
220,Tipo de desarrollo,Back-end
221,Competencia,PyTorch
221,Clasificación,Librería
221,Tipo de desarrollo,Back-end
221,Asociado a...,Python
222,Competencia,Quasar
222,Clasificación,Librería Modular
222,Tipo de desarrollo,Front-end
222,Asociado a...,JavaScript
223,Competencia,QuestDB
223,Clasificación,Base de Datos
223,Especificación,Base de datos relacional
223,Tipo de desarrollo,Back-end
223,Asociado a...,SQL
224,Competencia,RabbitMQ
224,Especificación,Broker de mensajería
225,Competencia,Rack
225,Clasificación,Programa
225,Tipo de desarrollo,Back-end
225,Asociado a...,Ruby
226,Competencia,Ramda
226,Clasificación,Librería
226,Tipo de desarrollo,Front-end
226,Asociado a...,JavaScript
227,Competencia,Ratpack
227,Clasificación,Framework
227,Tipo de desarrollo,Back-end
227,Asociado a...,Groovy
228,Competencia,React Native
228,Clasificación,Framework
228,Especificación,Diseño UX/UI
228,Tipo de desarrollo,Front-end
228,Asociado a...,JavaScript
229,Competencia,React Router DOM
229,Clasificación,Librería Modular
229,Tipo de desarrollo,Front-end
229,Asociado a...,JavaScript
230,Competencia,React Testing Library
230,Roles,QA Tester
230,Clasificación,Testing
230,Especificación,Herramienta de testing
230,Tipo de desarrollo,Front-end
230,Asociado a...,JavaScript
231,Competencia,ReactJS
231,Roles,"Front-end Developer Junior,Full-Stack Developer Junior"
231,Cursos,"Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode"
231,Clasificación,Framework
231,Tipo de desarrollo,Front-end
231,Asociado a...,JavaScript
232,Competencia,Realms
232,Clasificación,Librería
232,Tipo de desarrollo,Back-end
232,Asociado a...,Kotlin
